gid,no_cidade,nome_da_nidade,valor,taxa
7424,Sinop,<i>Sinop</i>,<b>21</b>,21
7512,Cristianópolis,<i>Cristianópolis</i>,<b>0</b>,0
10085,Mar Vermelho,<i>Mar Vermelho</i>,<b>0</b>,0
7047,Pavussu,<i>Pavussu</i>,<b>0</b>,0
10615,Jequeri,<i>Jequeri</i>,<b>2</b>,2
6751,Remígio,<i>Remígio</i>,<b>6</b>,6
9326,Bozano,<i>Bozano</i>,<b>0</b>,0
8624,Monte Castelo,<i>Monte Castelo</i>,<b>1</b>,1
9041,São Valério,<i>São Valério</i>,<b>0</b>,0
10509,Franciscópolis,<i>Franciscópolis</i>,<b>0</b>,0
10368,Carmópolis de Minas,<i>Carmópolis de Minas</i>,<b>1</b>,1
8893,Ubirajara,<i>Ubirajara</i>,<b>0</b>,0
6354,Riqueza,<i>Riqueza</i>,<b>0</b>,0
10223,Aiuruoca,<i>Aiuruoca</i>,<b>0</b>,0
5742,Alvorada do Sul,<i>Alvorada do Sul</i>,<b>0</b>,0
5704,Tailândia,<i>Tailândia</i>,<b>5</b>,5
8457,Francisco Morato,<i>Francisco Morato</i>,<b>8</b>,8
10158,Fonte Boa,<i>Fonte Boa</i>,<b>2</b>,2
9859,Araçoiaba,<i>Araçoiaba</i>,<b>1</b>,1
10320,Caeté,<i>Caeté</i>,<b>2</b>,2
9079,Barão de Grajaú,<i>Barão de Grajaú</i>,<b>3</b>,3
7592,Mossâmedes,<i>Mossâmedes</i>,<b>0</b>,0
8327,Barão de Antonina,<i>Barão de Antonina</i>,<b>0</b>,0
10461,Divisópolis,<i>Divisópolis</i>,<b>1</b>,1
10402,Conceição de Ipanema,<i>Conceição de Ipanema</i>,<b>0</b>,0
9125,Fernando Falcão,<i>Fernando Falcão</i>,<b>2</b>,2
6391,Schroeder,<i>Schroeder</i>,<b>1</b>,1
8946,Cariri do Tocantins,<i>Cariri do Tocantins</i>,<b>2</b>,2
7019,Miguel Leão,<i>Miguel Leão</i>,<b>0</b>,0
8720,Pontalinda,<i>Pontalinda</i>,<b>0</b>,0
